DLN,EIN,FILING_TYPE,IRS990EZ_p3_DscrptnPrgrmSrvcAccmTxt,IRS990EZ_p3_PrmryExmptPrpsTxt,IRS990PF_p16b_RltnshpSttmntTxt,IRS990PF_p9a_DscrptnTxt,IRS990ScheduleO_ExplntnTxt,IRS990_p1_ActvtyOrMssnDsc,IRS990_p3_DscS,IRS990_p3_MssnDsc,OBJECT_ID,RETURN_ID,RETURN_TYPE,SUB_DATE,TAXPAYER_NAME,TAX_PERIOD,YEAR,Real_Year,ACCPER,ADDRESS,ASSETS,CASSETS,CFINSRC,CITY,CTAXPER,CTOTREV,EPOST,FILER,FIPS,FISYR_IMAGE,FNDNCD,FRCD,GEN,INCOME,IRS990n,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,MSA_NECH,NAICS,NAME,NTEE1,NTEECC,NTEECONF,NTEEFINAL,NTEESRC,NTMAJ10,NTMAJ12,NTMAJ5,OUTNCCS,OUTREAS,PFFRCD,PMSA,RANDNUM,RULEDATE,RandNum,SEC_NAME,STATE,SUBSECCD,TAXPER,YEAR_NCCS,ZFILER,ZIP5,cAssets,cFiler,cFinSrc,cTaxPer,cTotRev,czFiler,nteeConf,nteeFinal,nteeFinal1,ntmaj10,ntmaj12,ntmaj5
9.34923E+13,510225607,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,11080129,990EZ,12/27/2013,KINGWOOD GARDEN CLUB,201306,2013,2013,6,PO BOX 5048,84926,,,KINGWOOD,,,Z,Y,48201,2013,16,20,7170,26703,0,PC,O,EN,C,C,3362,813410,TEXAS GARDEN CLUBS INC,C,C42,,,1,,,,IN,,,3360,,199301,0.42942,605 KINGWOOD GARDEN CLUB,TX,3,201306,2013,N,77325,84926,Y,bmf1312c3,201306,4844,N,B,C42,C,EN,EN,OT
9.34923E+13,752154523,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,11086464,990EZ,12/30/2013,ANGELINA BEAUTIFULCLEAN,201304,2013,2013,4,PO BOX 1606,21019,,,LUFKIN,,,Z,Y,48005,2014,15,1,0,128365,0,PC,O,EN,C,C,,813312,ANGELINA BEAUTIFUL CLEAN,C,C50,,,1,,,,IN,,,,,198705,0.09386,,TX,3,201304,2014,N,75902,21019,Y,core2012pc,201304,104364,N,A,C50,C,EN,EN,OT
9.34922E+13,750787690,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,10713807,990EO,7/29/2013,LAKE LYDIA INC,201303,2013,2013,3,PO BOX 1484,352887,,,QUITMAN,,,Z,Y,48499,2013,0,10,0,72848,0,O,O,EN,C,C,,813312,LAKE LYDIA INC,C,C99,,,1,,,,IN,,,,,195009,0.81335,,TX,7,201303,2013,N,75783,352887,Y,bmf1312co,201303,72848,N,C,C99,C,EN,EN,OT
9.34921E+13,751954862,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,10737883,990EO,8/5/2013,WOODS CEMETERY ASSOCIATION,201304,2013,2013,4,127 COUNTY ROAD 4262,264882,,,TENAHA,,,Z,Y,48419,2013,0,20,0,9523,0,O,O,EN,C,C,,813312,WOODS CEMETERY ASSOCIATION,C,C36,,,1,,,,IN,,,,,198510,0.36344,,TX,13,201304,2013,N,75974,264882,Y,bmf1312co,201304,9523,N,A,C36,C,EN,EN,OT
9.34932E+13,742601251,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.01E+17,10833364,990,9/13/2013,DAVIS MOUNTAINS TRANS PECOS HERITAGE ASSOCIATION,201302,2013,2013,2,PO BOX 1209,12940,,,ALPINE,,,Z,Y,48043,2013,15,20,0,31967,0,PC,O,EN,C,C,,813312,DAVIS MOUNTAINS TRANS-PECOS HERITAGE ASSOCIATION,C,C30,,,1,,,,IN,,,,,199107,0.80909,,TX,3,201302,2013,N,79831,12940,Y,bmf1312c3,201302,31967,N,A,C30,C,EN,EN,OT
9.34933E+13,746069002,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.01E+17,10859796,990O,9/25/2013,MESQUITE TRAIL DRIVERS ASSOCIATION,201304,2013,2013,4,PO BOX 38,49831,,,ADKINS,,,Z,Y,48029,2013,0,10,0,116468,0,O,O,EN,C,C,7240,813312,MESQUITE TRAIL DRIVERS ASSOCIATION,C,C99,,,1,,,,IN,,,,,196509,0.1184,,TX,7,201304,2013,N,78101,49831,Y,bmf1312co,201304,69941,N,C,C99,C,EN,EN,OT
9.34912E+13,276402231,EFILE,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,,,2.01E+17,11005905,990PF,12/9/2013,MONTGOMERY HUMANE TRUST,201303,2013,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.34922E+13,760436267,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,10914628,990EZ,11/5/2013,EAST MATAGORDA BAY FOUNDATION INC,201306,2013,2013,6,PO BOX 4004,15551,,,SARGENT,,,Z,Y,48321,2013,15,20,0,1152,1,PC,O,EN,C,C,,813312,EAST MATAGORDA BAY FOUNDATION INC,C,C30,,,1,,,,IN,,,,,199411,0.97845,,TX,3,201306,2013,N,77404,15551,Y,bmf1312c3,201306,1152,N,B,C30,C,EN,EN,OT
9.34923E+13,760567365,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,10949569,990EZ,11/15/2013,PECKERWOOD GARDENS CONSERVATION FOUNDATION INC,201303,2013,2013,3,20571 FM 359 RD,481478,,,HEMPSTEAD,,,Z,Y,48473,2013,15,10,0,149391,0,PC,O,EN,C,C,3362,813312,PECKERWOOD GARDENS CONSERVATION FOUNDATION INC,C,C30,,,1,,,,IN,,,3360,,199903,0.65979,,TX,3,201303,2013,N,77445,481478,Y,bmf1312c3,201303,149391,N,B,C30,C,EN,EN,OT
9.34923E+13,274374251,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,10949602,990EZ,11/15/2013,MAGNOLIA GARDEN CLUB,201306,2013,2013,6,148 S DOWLEN RD,70200,,,BEAUMONT,,,Z,Y,48245,2013,16,10,0,78512,0,PC,O,EN,C,C,840,813410,MAGNOLIA GARDEN CLUB,C,C42,,,1,,,,IN,,,,,201105,0.99665,,TX,3,201306,2013,N,77707,70200,Y,bmf1312c3,201306,58564,N,A,C42,C,EN,EN,OT
9.34933E+13,752351673,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.01E+17,10937239,990O,11/13/2013,CENTER FOR LEGISLATIVE ENERGY AND ENVIRONMENTAL RESEARCH,201306,2013,2013,6,5400 LBJ FREEWAY,148163,,,DALLAS,,,Z,Y,48113,2013,0,10,0,218157,0,O,O,EN,C,C,1922,813312,CENTER FOR LEGISLATIVE ENERGY AND ENVIRONMENTAL RESEARCH,C,C35,,,1,,,,IN,,,1920,,199104,0.70695,,TX,4,201306,2013,N,75240,148163,Y,bmf1312co,201306,218157,N,A,C35,C,EN,EN,OT
9.34913E+13,752856276,EFILE,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,,,2.01E+17,11031542,990PF,12/14/2013,WILTON FOUNDATION,201306,2013,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.34933E+13,272887426,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.01E+17,11040794,990,12/17/2013,SAN ANTONIO BIKE SHARE,201306,2013,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.34923E+13,752655909,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,11067935,990EO,12/24/2013,NORTH TEXAS SECTION OF THE WATER ENVIRONMENT ASSOCIATION OF TEXAS,201306,2013,2013,6,12750 MERIT DR STE 1100,210283,,,DALLAS,,,Z,Y,48113,2013,0,10,0,78569,0,O,O,EN,C,C,1922,813312,NORTH TEXAS SECTION OF THE WATER ENVIRONMENT ASSOCIATION OF TEXAS,C,C32,,,1,,,,IN,,,1920,,199609,0.16959,,TX,6,201306,2013,N,75251,210283,Y,bmf1312co,201306,61383,N,A,C32,C,EN,EN,OT
9.34923E+13,742772459,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,11067938,990EO,12/24/2013,TEXAS GULF COAST SUPERINTENDENTS ASSOCIATION,201306,2013,2013,6,PO BOX 271352,19259,,,CORP CHRISTI,,,Z,Y,48355,2013,0,20,0,32978,0,O,O,EN,C,C,1880,813920,TEXAS GULF COAST SUPERINTENDENTS ASSOCIATION INC,C,C03,,,1,,,,IN,,,,,199606,0.85288,,TX,6,201306,2013,N,78427,19259,Y,bmf1312co,201306,27064,N,C,C03,C,EN,EN,OT
9.34934E+13,746059311,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.01E+17,11091987,990O,12/31/2013,SOCIETY OF INDEPENDENT PROFESSIONAL EARTH SCIENTISTS,201302,2013,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.34923E+13,742687511,EFILE,TX CONFERENCE ON ORGANIC PRODUCTION SYSTEMS FOR FARMERS RANCHERS GARDENER ETC EDUCATION SPEAKERS TO PROMOTE ORANIC LOCAL AGRICULTURE IN TEXAS##MEMBERS RECEIVE A QUARTERLY TOFGA TODAY NEWSLETTER,PROMOTe& SUPPORT ORGANIC FARMIN,,,,,,,2.01E+17,12054716,990EZ,12/8/2014 20:54,TEXAS ORGANIC FARMERS AND GARDENERS ASSOCIATION,201312,2014,2013,12,PO BOX 48,29343,,,ELGIN,,,Z,Y,48021,2014,15,1,0,102690,0,PC,O,EN,C,C,640,813410,TEXAS ORGANIC FARMERS AND GARDENERS ASSOCIATION,C,C42,,,1,,,,IN,,,,,199407,0.11849,,TX,3,201312,2015,N,78621,29343,Y,core2013pc,201312,102690,N,A,C42,C,EN,EN,OT
9.34913E+13,752856276,EFILE,,,,Fish stocking in community lake - entire community benefits,,,,,2.01E+17,12055614,990PF,12/8/2014 23:50,WILTON FOUNDATION,201406,2014,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.34933E+13,741854299,EFILE,,,,,,"Houston Heights Association (HHA) fosters a sense of community by being a proactive leader in planning neighborhood progress, sponsoring the rehabilitation of historically significant buildings, maintaining parks/walkways, and promoting friendship/community spirit.","Houston Heights Association's (the Association) purpose is to promote and sponsor the rehabilitation and restoration of historically significant homes and buildings, as well as maintenance or improvement of parks and streets, and to promote commerce and education in the geographical area of Houston, Texas known as The Heights. The Association's projects include:Parks & Fire Station Maintenance - HHA maintains two parks on Heights Boulevard and historic City Hall & Fire Station.Constable Program - HHA coordinates with county constables to provide additional patrols of the area to increase neighborhood security.Boulevard Beautification - HHA maintains the esplanade and trees on Heights Boulevard.Awards, Education Committee, Land Use, Holiday Food Baskets, Crime & Security: Houston Heights Association (HHA)annually recognizes community improvement structures and outstanding volunteers, publicizes school activities and achievements, awards classroom grants to neighborhood schools, promotes deed restrictions, code enforcement and historic preservation, purchases and assembles food baskets for needy families, and promotes a safe neighborhood by sponsoring a police protection program to provide enhanced security with constable patrols.","The mission of the Houston Heights Association is to foster a sense of community among the diverse segments of the neighborhood by:Being a proactive leader in planning neighborhood progress and solving neighborhood problems, serving as a constructive force to promote, foster, encourage, and sponsor the rehabilitation and restoration of historically significant homes and buildings and to promote Houston Heights as the best and most livable historic neighborhood in the Houston metropolitan area; maintaining, improving and beautifying parks, streets, walkways, public buildings, and vacant and underdeveloped areas; promoting and fostering friendship, goodwill, and community spirit, mobilizing Heights talent and resources, including other area organizations, to combat community deterioration and meet neighborhood needs; and educating, informing and empowering the entire populace concerning the community to enhance involvement in neighborhood progress and promote good citizenship in an atmos",2.01E+17,12107603,990,12/29/2014,HOUSTON HEIGHTS ASSOCIATION,201312,2014,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.34933E+13,237109965,EFILE,,,,,,"STREAMS AND VALLEYS, INC. PASSIONATELY ADVOCATES FOR THE TRINITY RIVER IN FORT WORTH, ENSURING THAT IT REMAINS AN ASSET TO THE ENTIRE COMMUNITY, BY INITIATING AND COORDINATING RECREATION, BEAUTIFICATION AND UTILIZATION OF THE RIVER. THE MAJORITY OF THE EFFORTS FOCUS ON CREATING ACCESS TO THE RIVER; DEVELOPMENT OF ITS RECREATIONAL AMENITIES; RECRUITING AND PROMOTING VOLUNTEERISM; AND FACILITATING COMMUNITY SUPPORT THROUGH GIFTS WHICH ENABLE THE MISSION TO BE FURTHERED.","STREAMS AND VALLEYS SERVES A CRITICAL ADVOCACY ROLE FOR THE TRINITY RIVER IN FORT WORTH. THROUGH BEAUTIFICATION AND RECREATIONAL PROJECTS, ACCESS AND ENJOYMENT OF THE RIVER ENVIRONMENT IS SHARED THROUGHOUT THE COMMUNITY. THESE PROJECTS INCLUDE, BUT ARE NOT LIMITED TO TRAIL EXTENSIONS, TRAIL ACCESS POINTS (TRAILHEADS), AMENITIES (BENCHES, DRINKING FOUNTAINS), HABITAT ENRICHMENT (TREES, NATIVE PLANTINGS, BIRD HOUSES), PUBLIC ART AND COMMUNITY RELATIONS.##SEE SCHEDULE OTHE FOUNDERS OF STREAMS AND VALLEYS SET IN PLACE A PROJECT-FUNDING MECHANISM THAT HAS SERVED ITS COMMUNITY EXCEPTIONALLY WELL THROUGHOUT A 40 YEAR HISTORY. WITH THE UNDERSTANDING THAT THE RIVER CORRIDOR IS OWNED AND MAINTAINED BY TWO GOVERNMENT AGENCIES, THE TARRANT REGIONAL WATER DISTRICT AND THE CITY OF FORT WORTH, IT WAS MANDATORY THAT STREAMS AND VALLEYS ESTABLISH STRONG, TRUSTING, WORKING RELATIONSHIPS WITH BOTH. TO THAT END, THE ORGANIZATION CONTRIBUTES SIGNIFICANT STAFF TIME AND RESOURCES TOWARD: - RESEARCHING AND COMMUNICATING PROGRAM FUNDING OPPORTUNITIES - PRESENTING TO LOCAL GOVERNMENT AGENCIES - COORDINATING INTERLOCAL EFFORTS - FACILITATING IMPLEMENTATION OF PROGRAMSIN THIS WAY, STREAMS AND VALLEYS IS ABLE TO LEVERAGE ITS PRIVATE DONATIONS WITH THE RESOURCES OF GOVERNMENT AGENCIES TO DEVELOP AMENITIES AND PROGRAMMING THAT COULD NOT BE ACHIEVED IF ANY PARTNER WAS OPERATING INDEPENDENTLY. INSPIRATION, EDUCATION AND ADVOCACY PROVIDED BY STREAMS AND VALLEYS RESULTS IN IMPROVEMENTS TO THE RIVER CORRIDOR VALUED MUCH HIGHER THAN ANY SINGLE AGENCY'S CONTRIBUTION.##STREAMS & VALLEYS SPONSORS AWARENESS PROGRAMS THROUGHOUT THE YEAR TO HIGHLIGHT AND DRAW CITIZENS TO THE TRINITY RIVER AND ITS TRIBUTARIES FOR RECREATION AND RELAXATION. KAYAK CLINICS HIGHLIGHT A PERSPECTIVE OF THE RIVER FROM THE WATER'S SURFACE AND ENCOURAGE THE COMMUNITY TO FULLY ENGAGE WITH THE TRINITY RIVER. COLONIAL GO GREEN ENCOURAGES SPECTATORS TO UTILIZE THE ADJACENT TRINITY RIVER TRAILS TO TRAVEL TO THE GOLF TOURNAMENT. THE ORGANIZATION PERIODICALLY HOSTS SPECIAL EVENTS OR EXHIBITIONS THAT HIGHLIGHT THE RIVER IN OUR COMMUNITY WHETHER IT BE THROUGH PHOTOGRAPHY, ORIGINAL WORKS OF ART OR COLLABORATION WITH THE VARIOUS USER GROUPS.","STREAMS AND VALLEYS, INC. IS A NON-PROFIT ORGANIZATION THAT PLANS AND COORDINATES RECREATION ENHANCEMENTS, BEAUTIFICATION EFFORTS AND PUBLIC RECOGNITION OF THE TRINITY RIVER AND ITS TRIBUTARIES IN FORT WORTH AND TARRANT COUNTY THROUGH VOLUNTEER RECRUITING, FUNDRAISING, DEVELOPMENT AND EVENT PROGRAMING.",2.01E+17,12106884,990,12/29/2014,STREAMS AND VALLEYS INC,201312,2014,2013,12,PO BOX 470184,1287695,,,FORT WORTH,,,Z,Y,48439,2013,15,1,0,398352,0,PC,O,EN,C,C,1922,813312,STREAMS & VALLEYS INC,C,C50,,,1,,,,IN,,,2800,,197105,0.984,,TX,3,201312,2014,N,76147,1287695,Y,bmf1412c3,201312,213029,N,A,C50,C,EN,EN,OT
9.34933E+13,263749177,EFILE,,,,,,"TO FOSTER AND STEWARD THE NATURAL RESOURCES OF THE SAN ANTONIO BAY ESTUARINE SYSTEM FOR OPTIMAL BENEFIT OF MARINE LIFE, COASTAL WILDLIFE AND THE PEOPLE WHO USE IT FOR RECREATION AND THEIR LIVELIHOODS.","PROVIDED LEADERSHIP IN THE CONSERVATION AND STEWARDSHIP OF SAN ANTONIO BAY, PROMOTED PRESERVATION OF BAY THROUGH COOPERATIVE COMMUNITY PARTNERSHIPS, DEVELOPED PROJECTS WHICH SUSTAIN ENVIRONMENTAL QUALITY OF WATERS, DEVELOPED CONSTITUENCY THROUGH SUPPORTABLE SCIENCE-BASED EDUCATIONAL PROGRAMS, SUPPORTED RESEARCH EFFORTS BY INSTITUTIONS OF HIGHER LEARNING AND ENCOURAGED USE OF BAY AND COASTAL ENVIRONMENTS.","TO FOSTER AND STEWARD THE NATUAL RESOURCES OF THE SAN ANTONIO BAY ESTUARINE SYSTEM FOR OPTIMAL BENEFIT OF MARINE LIFE, COASTAL WILDLIFE AND THE PEOPLE WHO USE IT FOR RECREATION AND THEIR LIVELIHOODS.",2.01E+17,12108150,990,12/29/2014,SAN ANTONIO BAY FOUNDATION,201312,2014,2013,12,933 E COURT ST,31565,,,SEGUIN,,,Z,Y,48187,2013,15,1,0,200510,0,PC,O,EN,C,C,7240,813312,SAN ANTONIO BAY FOUNDATION,C,C32,,,1,,,,IN,,,,,201004,0.73615,,TX,3,201312,2014,N,78155,31565,Y,bmf1412c3,201312,200510,N,B,C32,C,EN,EN,OT
9.34923E+13,742613666,EFILE,Continued sales of encyclopedias; continued research & production of next volume; attend trade shows to promote research efforts and disseminate information.,"To research, compile & disseminate educational information",,,,,,,2.01E+17,12150433,990EZ,12/29/2014,USEFUL WILD PLANTS INC,201312,2014,2013,12,2612 SWEENEY LN,156070,,,AUSTIN,,,Z,Y,48453,2013,15,2,0,28590,0,PC,O,EN,C,C,640,813920,USEFUL WILD PLANTS OF TEXAS,C,C03,,,1,,,,IN,,,,,199201,0.51484,,TX,3,201312,2014,N,78723,156070,Y,bmf1412c3,201312,28590,N,A,C03,C,EN,EN,OT
9.34933E+13,743010608,EFILE,,,,,,To promote the profession of project management,Promoted the profession of project management,To promote the profession of project management,2.01E+17,12147493,990O,12/29/2014,ALAMO PMI CHAPTER INC,201312,2014,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
