"","ein","real_year","name","address","fips","assets","income","lon","lat"
"38",760046318,2013,"TREES FOR HOUSTON","PO BOX 270477, HOUSTON, TX 77277",48201,2164041,1473367,-95.6049489,29.7461902
"39",751375644,2013,"LOUISE B BELSTERLING FOUNDATION","4340 BEVERLY DR, DALLAS, TX 75205",48113,502863,134395,-96.8096606,32.8323843
"40",742250898,2013,"ALAMO HEIGHTS-TERRELL HILLS GARDEN CLUB INC","5108 BROADWAY ST STE 216, SAN ANTONIO, TX 78209",48029,97284,46600,NA,NA
"41",742600978,2013,"BEXAR COUNTY MASTER GARDENERS INC","3355 CHERRY RIDGE ST STE 208, SAN ANTONIO, TX 78230",48029,267274,149828,-98.5480286,29.5097532
"42",750975500,2013,"AMERICAN ASSOCIATION OF PROFESSIONAL LANDMEN INC","4100 FOSSIL CREEK BLVD, FORT WORTH, TX 76137",48439,30692987,17978836,-97.2962702,32.8474168
"43",452782423,2013,"PURE ENERGY SPORTS","2307 OMAHA DR, HARKER HTS, TX 76548",48027,0,125001,-97.6735177,31.0622897
"44",751840314,2013,"FORT WORTH GARDEN CLUB INC","3220 BOTANIC GARDEN BLVD, FORT WORTH, TX 76107",48439,3572861,1291022,-97.3636032,32.7404284
"45",742690768,2013,"KEEP MCALLEN BEAUTIFUL INC","PO BOX 220, MCALLEN, TX 78505",48215,40949,100211,-98.23,26.2
"46",271298380,2013,"COALITION FOR RESPONSIBLE REGULATION","601 JEFFERSON STREET, HOUSTON, TX 77002",48201,21470,279988,-95.3723074,29.7532925
"47",751761481,2013,"DALLAS ECOLOGICAL FOUNDATION","13709 GAMMA RD, DALLAS, TX 75244",48113,869466,269441,-96.8371518,32.9355908
"48",752132135,2013,"KEEP ABILENE BEAUTIFUL INC","PO BOX 60, ABILENE, TX 79604",48441,29202,23883,-99.7322905,32.4520305
"49",752876262,2013,"DALLAS COUNTY AUDUBON SOCIETY INC DBA AUDUBON DALLAS","PO BOX 12713, DALLAS, TX 75225",48113,846878,82860,-96.7969879,32.7766642
"50",760327389,2013,"HERMANN PARK CONSERVANCY","6201 A HERMANN PARK DRIVE, HOUSTON, TX 77030",48201,37475474,24212384,-95.3886536,29.7142342
"51",751057918,2013,"TEXAS GARDEN CLUBS INC","3111 OLD GARDEN RD, FORT WORTH, TX 76107",48439,777993,156497,-97.3635705,32.738796
"52",752254312,2013,"KEEP MESQUITE BEAUTIFUL INC","PO BOX 850137, MESQUITE, TX 75185",48113,46382,56726,-96.5983607,32.7757
"53",431987259,2013,"TEXAS WATERSHED MANAGEMENT FOUNDATION","214 LEISURE ACRES RD, GATESVILLE, TX 76528",48099,438115,83501,-97.7835264,31.4068199
"54",362797811,2013,"WOMENS COUNCIL GARDEN OF THE DALLAS ARBORETUM AND BOTANICAL SOCIETY","200 CRESCENT CT STE 1200, DALLAS, TX 75201",48113,1279413,630516,-96.8039079,32.7936538
"55",237011870,2013,"HOUSTON AUDUBON SOCIETY INC","440 WILCHESTER BLVD, HOUSTON, TX 77079",48201,6141999,1019503,-95.5699463,29.7714539
"56",237039786,2013,"FOUNDERS GARDEN CLUB OF DALLAS","C/O 4332 ARCADY, DALLAS, TX 75205",48113,198796,60559,-96.8092601,32.8283087
"57",741145998,2013,"RIVER OAKS GARDEN CLUB","2503 WESTHEIMER RD, HOUSTON, TX 77098",48201,1279588,768190,-95.417969,29.7420042
"58",262959996,2013,"WOODS PROJECT","6 SLEEPY OAKS CIR, HOUSTON, TX 77024",48201,291992,593009,-95.5063988,29.7759939
"59",263299387,2013,"FORT BEND GREEN","1 FLUOR DANIEL DR, SUGAR LAND, TX 77478",48157,133319,78110,-95.6262453,29.6053346
"60",752793697,2013,"KEEP ROWLETT BEAUTIFUL INC","PO BOX 1992, ROWLETT, TX 75030",48113,71396,377831,-96.5709471,32.9053964
"61",753253640,2013,"OUR LANDS AND WATERS FOUNDATION A PUBLIC PARTNERSHIP WITH THE US ARMY CORP OF ENG","PO BOX 121330, ARLINGTON, TX 76012",48439,2196635,1566998,-97.1413222,32.757305
"62",760243519,2013,"GULF COAST POWER ASSOCIATION INC","2800 E WHITESTONE BLVD STE 120 # D, CEDAR PARK, TX 78613",48491,530319,829656,NA,NA
"63",752421448,2013,"HIGH PLAINS RESOURCE CONSERVATION AND DEVELOPMENT AREA INC","PO BOX, HEREFORD, TX 79045",48117,203350,79451,-102.3999467,34.8180582
"64",262563455,2013,"CLASS 4 WINDS INC","600 S TYLER STE 700, AMARILLO, TX 79101",48375,50810,57320,-101.8388806,35.2076414
"65",272005123,2013,"NATIONAL OCEAN POLICY COALITION","2211 NORFOLK ST, HOUSTON, TX 77098",48201,91694,171900,-95.4133455,29.7321343
"66",452609167,2013,"COASTAL PRAIRIE PARTNERSHIP","PO BOX 540342, HOUSTON, TX 77254",48201,2216,8945,-95.41,29.68
"67",760391164,2013,"LAFFITES COVE AT PIRATES BEACH NATURE SOCIETY","PO BOX 160, TOMBALL, TX 77377",48201,251094,67685,-95.6160549,30.0971621
"68",204467651,2013,"HOMEBASE TEXAS","310 COMAL NO 100, AUSTIN, TX 78702",48453,975677,422014,-97.7279531,30.2610416
"69",746049372,2014,"TEXAS GARDEN CLUBS","6088 BABE ZAHARIAS DR, BEAUMONT, TX 77705",48245,1384346,313177,-94.1464983,30.0232613
"70",203398696,2013,"GROUNDWORK DALLAS INC","718 N BUCKNER BOULEVARD 416 SUITE 1, DALLAS, TX 75218",48113,243645,277204,-96.7108124,32.8463456
"71",742633614,2013,"COASTAL BEND GUIDES ASSOCIATION","PO BOX 1571, ARANSAS PASS, TX 78335",48409,33358,39609,-97.0975854,27.8777613
"72",61693724,2013,"US GREEN BUILDING COUNCIL TEXAS GULF COAST CHAPTER","10401 WESTOFFICE DR, HOUSTON, TX 77042",48201,43586,125696,-95.551474,29.7199302
"73",742352514,2013,"LOWER RIO GRANDE VALLEY NATURE CENT","PO BOX 8125, WESLACO, TX 78599",48215,508486,242663,-97.9914086,26.1989275
"74",750771007,2013,"TEXAS FORESTRY ASSOCIATION INC","PO BOX 1488, LUFKIN, TX 75902",48005,357459,727639,-94.7235939,31.3374423
"75",300028134,2013,"DEVILS SINKHOLE SOCIETY INC","PO BOX 97, ROCKSPRINGS, TX 78880",48137,65308,53615,-100.2053582,30.0157647
"76",208867074,2013,"GREENS BAYOU CORRIDOR COALITION","16945 NORTHCHASE DR STE 1900, HOUSTON, TX 77060",48201,352617,333809,-95.4069631,29.9474849
"77",742130626,2013,"SAVE BARTON CREEK ASSOCIATION","910 W ANDERSON LN, AUSTIN, TX 78757",48453,386784,1397879,-97.7140627,30.3484075
"78",760586373,2013,"FRIENDS OF THE BAYTOWN NATURE CENTER INC","PO BOX 8177, BAYTOWN, TX 77522",48201,21321,12915,-94.9693741,29.769771
"79",271310367,2013,"CYBERWAYS AND WATERWAYS","1607 WATERSTON AVE, AUSTIN, TX 78703",48453,6935,115094,-97.7594328,30.2807395
"80",134249347,2013,"SOUTH TEXAS WATER UTILITY MANAGERS ASSOCIATION","PO BOX 621, RIO HONDO, TX 78583",48061,4074,24337,-97.5768441,26.2327099
"81",760458344,2013,"WOMENS ENERGY NETWORK OF HOUSTON","1707 POST OAK BLVD PMB 112, HOUSTON, TX 77056",48201,189786,628603,-95.46001,29.749344
"82",751879329,2013,"LAKE GRANBURY AREA BEAUTIFICATION COUNCIL INC","PO BOX 1921, GRANBURY, TX 76048",48221,76467,45363,NA,NA
"83",742562764,2013,"KEEP TEMPLE BEAUTIFUL","100 W ADAMS AVE STE 302, TEMPLE, TX 76501",48027,1419,50709,-97.3421193,31.0983961
"84",742768391,2013,"CLEAN AIR FORCE OF CENTRAL TEXAS","PO BOX 29295, AUSTIN, TX 78755",48453,131761,141796,-97.7430608,30.267153
"85",752234375,2013,"KEEP ATHENS BEAUTIFUL","201 W CORSICANA SUITE 4, ATHENS, TX 75751",48213,39103,83669,-95.8567337,32.2039868
"86",510187748,2014,"DALLAS GARDEN CLUB OF THE DALLAS","7000 PARK LN, DALLAS, TX 75225",48113,257912,270946,-96.7846237,32.8728447
"87",432080187,2013,"EAST SHORE COMMUNITY ASSOCIATION","2204 TIMBERLOCH PL STE 180, THE WOODLANDS, TX 77380",48339,450504,1437573,-95.4699992,30.159091
"88",562375157,2013,"IMAGES FOR CONSERVATION FUND","2112 W UNIVERSITY DR 801, EDINBURG, TX 78539",48215,191643,98718,-98.1854901,26.3040269
"89",273340044,2013,"GREENBELT ALLIANCE OF DENTON COUNTY","2459 BLACKJACK RD W, AUBREY, TX 76227",48121,12287,22656,-97.0208859,33.3131093
"90",752958519,2013,"HISTORIC CAMP BOWIE INITIATIVES INC","6100 CAMP BOWIE BLVD STE 23, FORT WORTH, TX 76116",48439,6852,147421,-97.4157397,32.7291727
"91",743136755,2013,"CARLTON WOODS CREEKSIDE ASSOCIATION","2204 TIMBERLOCH PL STE 180, THE WOODLANDS, TX 77380",48339,1014565,1466884,-95.4699992,30.159091
"92",751375644,2014,"LOUISE B BELSTERLING FOUNDATION","4340 BEVERLY DR, DALLAS, TX 75205",48113,629004,155768,-96.8096606,32.8323843
"93",760602346,2013,"HOUSTON TOMORROW","3015 RICHMOND AVE STE 201, HOUSTON, TX 77098",48201,58178,282991,-95.4240252,29.7335474
"94",364685823,2013,"LAND CONSERVATION SOCIETY OF TEXAS INC","19333 HIGHWAY 59 N STE 170, HUMBLE, TX 77338",48201,107251,168152,-95.2714419,29.9991145
"95",200325123,2013,"COASTAL BEACH AND BAY FOUNDATION","PO BOX 1017, GALVESTON, TX 77553",48167,396903,44382,-94.79545,29.3026
"96",742974140,2013,"VICTORIA COUNTY MASTER GARDENER ASSOCIATION","PO BOX 1723, VICTORIA, TX 77902",48469,215975,73746,-97.01,28.8
"97",742989863,2013,"PINES AND PRAIRIES LAND TRUST","106 CONFERENCE DRIVE SUITE 2-A, BASTROP, TX 78602",48021,3628343,116588,-97.283938,30.1004716
"98",741611738,2013,"PONDEROSA FOREST MAINTENANCE ASSOCIATION INC","PO BOX 90355, HOUSTON, TX 77290",48201,717550,352123,-95.3698028,29.7604267
"99",510225607,2014,"KINGWOOD GARDEN CLUB","PO BOX 5048, KINGWOOD, TX 77325",48201,94867,49238,-95.22,30.07
"100",262117714,2013,"CLEANTX FOUNDATION INC","3925 W BRAKER LANE, AUSTIN, TX 78759",48453,11932,89454,-97.7354306,30.3950315
"101",760685448,2013,"WILLOW WATERHOLE GREENSPACE CONSERVANCY INC","11415 CHIMNEY ROCK RD STE 201, HOUSTON, TX 77035",48201,32286,52893,-95.4761018,29.6573257
"102",752352954,2013,"SAN ANGELO FRIENDS OF THE ENVIRONMENT","702 WAREHOUSE RD, SAN ANGELO, TX 76903",48451,164401,83803,-100.4452427,31.4283134
"103",742603919,2013,"COASTAL BEND BAY FOUNDATION","1231 AGNES SUITE A-4, CORPUS CHRISTI, TX 78401",48355,53936,191701,-97.4046056,27.787423
"104",760046520,2013,"INTERWOOD ASSOCIATION INC","5295 HOLLISTER ST, HOUSTON, TX 77040",48201,212808,144349,-95.5069529,29.8440684
"105",742488227,2013,"VALLEY LAND FUND INC","2400 N 10TH ST STE A, MCALLEN, TX 78501",48215,2177299,103075,-98.2260402,26.2252006
"106",264802013,2013,"FRIENDS FOR GOOD","26423 BAYOU VISTA CIR, KATY, TX 77494",48157,20753,12904,-95.8330349,29.7708299
"107",460920592,2013,"TEXAS LITTER CONTROL","150 PRUITT ROAD SUITE H, SPRING, TX 77380",48339,47393,677701,-95.443835,30.1198365
"108",751514511,2014,"MARIANNE SCRUGGS GARDEN CLUB OF THE DALLAS WOMANS CLUB","7000 PARK LN, DALLAS, TX 75225",48113,158691,54310,-96.7846237,32.8728447
"109",760617443,2013,"NORTH AMERICAN PROCESS TECHNOLOGY ALLIANCE","1501 N AMBURN RD STE 3, TEXAS CITY, TX 77591",48167,202097,176861,-95.0041672,29.3966703
"110",742143423,2013,"KEEP BRAZOS BEAUTIFUL INC","1737 BRIARCREST DR, BRYAN, TX 77802",48041,138084,186912,-96.338103,30.654448
"111",746068250,2013,"BIG BEND NATURAL HISTORY ASSOCIATION INC","PO BOX 196, BG BND NTL PK, TX 79834",48043,495666,528975,-103.2201828,29.2669239
"112",237375815,2013,"DALLAS ARBORETUM AND BOTANICAL SOCIETY INC","8617 GARLAND RD, DALLAS, TX 75218",48113,88421889,24878029,-96.7139551,32.8241651
"113",752351673,2014,"CENTER FOR LEGISLATIVE ENERGY AND ENVIRONMENTAL RESEARCH","5400 LBJ FREEWAY, DALLAS, TX 75240",48113,222858,276144,-96.8167378,32.924654
"114",371581800,2014,"GLEN ROSE BAND BOOSTER CLUB","PO BOX 3148, GLEN ROSE, TX 76043",48425,37214,51374,-97.7553061,32.2345872
"115",273741373,2013,"WHITE ROCK LAKE CONSERVANCY INC","PO BOX 140227, DALLAS, TX 75214",48113,41106,76720,-96.7568815,32.8121674
"116",741607050,2013,"TWIN MOUNTAIN MANOR INC","200 TWIN MOUNTAIN RD BOX H-4, WIMBERLEY, TX 78676",48209,182757,197940,-98.1049962,29.9952105
"117",742934364,2013,"SOLAR SAN ANTONIO","118 BROADWAY ST STE 621, SAN ANTONIO, TX 78205",48029,32275,389036,-98.487599,29.4272194
"118",742681873,2013,"CENTRAL TEXAS RESOURCE CONSERVATION AND DEVELOPMENT COUNCIL INC","400 PORTER ST, TAYLOR, TX 76574",48491,110701,60148,-97.4079734,30.5714066
"119",760501430,2013,"URBAN HARVEST","2311 CANAL STREET, HOUSTON, TX 77003",48201,319979,1070481,-95.346325,29.758353
"120",800746629,2013,"ALLIANCE FOR CONSERVATION EASEMENTS","14781 MEMORIAL DR, HOUSTON, TX 77079",48201,15001,14001,-95.6121738,29.7709536
"121",741696145,2013,"ECOLOGY ACTION OF TEXAS","PO BOX 1927, AUSTIN, TX 78767",48453,350139,449508,-97.739694,30.2694174
"122",760031884,2013,"CRADLE OF TEXAS CONSERVANCY INC","PO BOX 353, WEST COLUMBIA, TX 77486",48039,764831,49151,-95.6452249,29.1438582
"123",760511886,2013,"SCENIC GALVESTON INC","20 COLONY PARK CIR, GALVESTON, TX 77551",48167,3492051,78577,-94.8385547,29.2689069
"124",810554715,2013,"NELAC INSTITUTE","PO BOX 2439, WEATHERFORD, TX 76086",48367,16332,899113,-97.7905758,32.7522671
"125",752799755,2013,"KAUFMAN COUNTY SOLID WASTE MANAGEMENT COOPERATIVE INC","1100 AIRPORT RD, TERRELL, TX 75160",48257,137249,317670,-96.2683402,32.7178031
"126",237221304,2013,"WOODLAND HILLS TRAIL ASSOCIATION","6842 N SAM HOUSTON PKWY W, HOUSTON, TX 77064",48201,462500,274050,-95.5278664,29.9369528
"127",830462989,2013,"POSSUM KINGDOM LAKE PRESERVATION ASSOCIATION","16901 DALLAS PKWY STE 116, ADDISON, TX 75001",48113,120,0,-96.8298475,32.982044
"128",263638933,2013,"TEXAS INSTITUTE","1709 TRIPLE CROWN LN, PLANO, TX 75093",48085,2803,721,-96.8236694,33.0240033
"129",751712770,2013,"CHILDRESS ANGLERS AND SPORTSMAN CLUB","231 BLUEBONNET LN, CHILDRESS, TX 79201",48075,53260,39126,-100.3668389,34.4703784
"130",760288131,2013,"MOODY GARDENS INC","1 HOPE BLVD, GALVESTON, TX 77554",48167,92085467,107649825,-94.8502019,29.2729531
"131",742932549,2013,"KEYSTONE HERITAGE PARK INC","PO BOX 221527, EL PASO, TX 79913",48141,1110776,227368,-106.5613974,31.8386746
"132",200576859,2013,"BROWNSVILLE BOTANICAL GARDENS AND ARBORETUM","205 PECAN BLVD, MCALLEN, TX 78501",48215,554056,11488,-98.2194854,26.216319
"133",237158154,2014,"HOUSTON ASSOCIATION OF PROFESSIONAL LANDMEN","800 BERING DR STE 120, HOUSTON, TX 77057",48201,755930,732083,-95.4806745,29.7578414
"134",43695294,2013,"HOUSTON BOTANIC GARDEN","3701 KIRBY DRIVE, HOUSTON, TX 77098",48201,1178818,1154803,-95.41801,29.7331166
"135",760046318,2014,"TREES FOR HOUSTON","PO BOX 270477, HOUSTON, TX 77277",48201,2342173,1828829,-95.6049489,29.7461902
"136",760655841,2014,"MEMORIAL PARK CONSERVANCY INC","7575 NORTH PICNIC LANE, HOUSTON, TX 77007",48201,2556953,2088561,-95.4477855,29.767053
"137",746131894,2013,"HONDO GARDEN CLUB INC","1903 19TH ST, HONDO, TX 78861",48325,315000,184066,-99.1494637,29.3465519
"138",742168039,2014,"TEXAS VEGETABLE ASSOCIATION","901 BUSINESS PARK DR, MISSION, TX 78572",48215,55668,74924,-98.3175488,26.1986962
"139",760209022,2013,"AUDUBON DOCENT GUILD","440 WILCHESTER BLVD, HOUSTON, TX 77079",48201,74927,103415,-95.5699463,29.7714539
"140",870699956,2013,"TOWN LAKE TRAIL FOUNDATION","PO BOX 5195, AUSTIN, TX 78763",48453,3763565,821448,-97.77,30.3
"141",454616548,2013,"PAISANO SPRINGS FOUNDATION","364 MENGER SPGS, BOERNE, TX 78006",48259,1480510,1176410,-98.7294045,29.7627859
"142",751825883,2013,"TEXAS LAND CONSERVANCY","6626 SILVERMINE DR, AUSTIN, TX 78736",48453,9734280,981534,-97.8889559,30.2464134
"143",742010402,2013,"CHAMPION FOREST FUND INC","2204 TIMBERLOCH PL STE 245, THE WOODLANDS, TX 77380",48339,442352,381625,-95.4699992,30.159091
"144",521812626,2013,"CASE MANAGEMENT SOCIETY OF AMERICA TX-HOUSTON-GULF COAST","14027 MEMORIAL DR PMB 265, HOUSTON, TX 77079",48201,23246,94775,-95.5903062,29.7699141
"145",273768198,2013,"WOODS AND WATER KIDS ADVENTURES INC","6315B FM 1488 RD, MAGNOLIA, TX 77354",48339,60071,131184,-95.5643531,30.2218273
"146",742739793,2013,"COOPERATIVE TEAMWORK AND RECYCLING ASSISTANCE","3355 BEE CAVE RD BLDG 3 SUITE 304, AUSTIN, TX 78746",48453,478302,87519,-97.8032627,30.2751787
"147",742117354,2013,"LEXINGTON WOODS OWNERS COMMITTEE INC","PO BOX 681007, HOUSTON, TX 77268",48201,267416,426670,-95.5087962,30.0145474
"148",300276347,2013,"HOUSTON REGIONAL MONITORING","3720 DECKER DR, BAYTOWN, TX 77520",48201,2987559,2596088,-95.0065221,29.7648933
"149",760621454,2013,"FRIENDS OF THE EDDIE V GRAY WETLANDS EDUCATION CENTER","PO BOX 638, BAYTOWN, TX 77522",48201,43200,54526,-94.9693741,29.769771
"150",760440865,2013,"GULF COAST ASSOCIATION OF GEOLOGICAL SOCIETIES INC","PO BOX 79514, HOUSTON, TX 77279",48201,613814,372097,-95.3698028,29.7604267
"151",201111056,2013,"TEXAS BOTANICAL GARDENS AND N AMERICAN INTERPRETIVE CENTER","PO BOX 513, GOLDTHWAITE, TX 76844",48333,953581,444883,-98.5708763,31.4498855
"152",223880229,2013,"TEXAS ENVIRONMENTAL RESEARCH CONSORTIUM","711 LOUISIANA ST, HOUSTON, TX 77002",48201,34126,11254,-95.3656692,29.7601541
"153",760247588,2013,"ARMAND BAYOU NATURE CENTER FOUNDATION CO NEIL THOMAS","1301 MCKINNEY ST, HOUSTON, TX 77010",48201,1313639,40594,-95.3615297,29.7554839
"154",741984482,2013,"COASTAL CONSERVATION ASSOCIATION","6919 PORTWEST DR STE 100, HOUSTON, TX 77024",48201,16379200,23767576,-95.4493617,29.7802681
"155",752390840,2013,"EAST TEXAS ARBORETUM AND BOTANICAL SOCIETY INC","PO BOX 2231, ATHENS, TX 75751",48213,1714008,510519,NA,NA
"156",750968821,2013,"AMARILLO BOTANICAL GARDENS","1400 STREIT DR, AMARILLO, TX 79106",48375,5817335,990995,-101.9152488,35.1977481
"157",452701367,2013,"MISSION VERDE ALLIANCE","PO BOX 15856, SAN ANTONIO, TX 78212",48029,14619,164055,-98.4936282,29.4241219
"158",760668230,2013,"FORT BEND COUNTY MASTER GARDENERS INC","1402 BAND RD, ROSENBERG, TX 77471",48157,93720,77637,-95.8097985,29.5165904
"159",746069809,2013,"AUSTIN WOODS AND WATERS CLUB","PO BOX 80022, AUSTIN, TX 78708",48453,116322,212153,-97.7051165,30.3911673
"160",237243633,2013,"SHERWOOD-ELMGROVE TRAIL ASSOCIATION","1075 KINGWOOD DR STE 100, KINGWOOD, TX 77339",48201,772712,258879,-95.2407799,30.0505449
"161",270505879,2013,"INTERNATIONAL MARITIME AND ENERGY CENTER OF HOUSTON","203 IVY AVENUE STE 200, DEER PARK, TX 77536",48201,28441,0,-95.1213024,29.7088947
"162",331095299,2014,"GALVESTON ISLAND NATURE TOURISM COUNCIL","PO BOX 1468, GALVESTON, TX 77553",48167,185585,171625,-94.79545,29.3026
"163",742569827,2014,"TREEFOLKS INC","PO BOX 704, AUSTIN, TX 78767",48453,197617,816993,-97.7860636,30.2405598
"164",741648152,2013,"NORCHESTER MAINTENANCE FUND INC CO CHAPARRAL MANAGEMENT COMPANY","PO BOX 681007, HOUSTON, TX 77268",48201,265667,307536,-95.5087962,30.0145474
"165",203415046,2013,"FRIENDS OF BLUE HOLE","PO BOX 1601, WIMBERLEY, TX 78676",48209,40815,135953,-98.0986204,29.9974362
"166",741708558,2013,"GREENWOOD FOREST FUND INC","12700 CHAMPION FOREST DR, HOUSTON, TX 77066",48201,1195431,884791,-95.5100257,29.9765915
"167",742253593,2013,"CROWES NEST FARM INC","10300 TAYLOR LN, MANOR, TX 78653",48453,1104028,199589,-97.5325068,30.3012834
"168",201991645,2013,"BEAU THERIOT COMANCHE CANYON PRESERVE LANDS INC","6535 COMANCHE TRL, AUSTIN, TX 78732",48453,8470710,70358,-97.8709185,30.4043619
"169",752215558,2013,"RIVER LEGACY FOUNDATION","703 NW GREEN OAKS BLVD, ARLINGTON, TX 76006",48439,1671810,874508,-97.115287,32.7834833
